Latitude;Longitude;Altitude;Geometry;Grund der Fällung;Baum_ID;Gattung;Art;Sorte;Deutsch;Straße;Hausnummer;Pflegebezirk;Politischer Bezirk;Stammumfang;X_Koord;Y_Koord
51.22518652;6.77267516;0;point;abgestorben;1032;Robinia;pseudoacacia;Monophylla;Robinie;Flinger Straße;li. Von. Nr. 6;3201;1;;32344475.67;5677224.22
51.22525221;6.79015186;0;point;;1591;Robinia;pseudoacacia;Monophylla;Robinie;Hohenzollernstraße;24;;;;32345696.08;5677194.67
51.2198795;6.77896267;0;point;;2190;Aesculus;Hippocastanum;;Kastanie;Königsallee;;;;;32344896.81;5676620.84
51.21557705;6.77008506;0;point;;2326;Platanus;acerifolia;;Platane;Konkordiastraße;Schule;;;;32344262.4;5676161.23
51.22634978;6.7869735;0;point;;2412;Robinia;pseudoacacia;Umbraculifera;Robinie;Liesegangstraße;ggü 11;;;;32345477.85;5677323.39
51.21814927;6.78904885;0;point;;2559;Corylus;colurna;;Baumhasel;Mintropstraße;23;;;;32345595.3;5676407.21
51.22210452;6.77157095;0;point;;2661;Acer;platanoides;Globosum;Spitzahorn;Poststraße;7;;;;32344388.18;5676883.87
51.2160742;6.77255774;0;point;;2714;Sorbus;intermedia;;Mehlbeere;Reichsstraße;41;;;;32344436.75;5676211.27
51.29877408;6.73519764;0;point;nur noch Stamm;3891;Tilia;pallida;;Linde;Barbarossawall;57;3111;5;380;32342111.48;5685486.43
51.29884191;6.73528668;0;point;nur noch Stamm;3893;Tilia;pallida;;Linde;Barbarossawall;Grünanlage;3111;5;280;32342117.92;5685493.78
51.29911155;6.73562675;0;point;Morschungen im Stammfußbereich;3901;Tilia;pallida;;Linde;Barbarossawall;47;3111;5;340;32342142.55;5685523.03
51.299384;6.73597745;0;point;Morschungen im Stammfußbereich;3908;Tilia;pallida;;Linde;Barbarossawall;43;3111;5;240;32342167.93;5685552.57
51.29945092;6.73606611;0;point;Morschungen im Stammfußbereich;3910;Tilia;pallida;;Linde;Barbarossawall;43;3111;5;350;32342174.34;5685559.82
51.29818847;6.73244554;0;point;abgestorben;3957;Tilia;pallida;;Linde;Burgallee;3;3111;5;180;32341917.63;5685427.24
51.29823903;6.73241852;0;point;Morschungen im Stammfußbereich;3960;Tilia;pallida;;Linde;Burgallee;2;3111;5;350;32341915.92;5685432.92
51.30458925;6.75193861;0;point;Sturmschaden;4892;Tilia;pallida;;Linde;Kalkumer Schloßallee;23;3111;5;170;32343298.24;5686097.14
51.30459662;6.75183523;0;point;Pilzbefall (Lackporling) ;4893;Tilia;pallida;;Linde;Kalkumer Schloßallee;23;3111;5;240;32343291.06;5686098.18
51.2921489;6.73634709;0;point;Sturmschaden;5169;Acer;pseudoplatanus;;Bergahorn;Niederrheinstraße;geg 333;3111;5;240;32342168.88;5684747.3
51.30557009;6.75826018;0;point;;5629;Quercus;palustris;;Sumpfeiche;Oberdorfstraße;Grünanlage;;;;32343742.17;5686192.72
51.33036914;6.7316303;0;point;Morschungen am Kronenansatz;5668;Prunus;;;Kirsche;Sonnenacker;73;3111;5;50;32341971.44;5689007.19
51.33126391;6.72815172;0;point;abgestorben;5732;Prunus;;;Kirsche;Sonnenacker;15;3111;5;30;32341732.21;5689114.18
51.23287277;6.75933002;0;point;Morschungen am Stammfuß;22249;Fraxinus;excelsior;;Gemeine Esche;Feldmühleplatz;;3102;4;125;32343570.01;5678107.19
51.2360227;6.72753041;0;point;Pilzbefall (Schwefelporling);22860;Robinia;pseudoacaccia;;Scheinakazie;Heerdter Lohweg;212;3102;4;250;32341361.04;5678525.63
