Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.780951993;51.21982381;79;Bahnstraße 16;Robinie;107;Pilzbefall & Schrägstand;32345035.53;5676610.45
6.769472149;51.22226858;120;Berger Allee 1;Robinie;194;extremer Schrägstand;32344242.19;5676906.56
6.775827014;51.22647673;270;Bolkerstraße 56;Schwedische Mehlbeere;30;abgestorben;32344700.07;5677361.01
6.791883181;51.22655129;378;Cantadorstraße 34;Schwedische Mehlbeere;90;Pilzbefall;32345821.30;5677335.48
6.79183658;51.22661516;380;Cantadorstraße 32;Schwedische Mehlbeere;62;Pilzbefall;32345818.26;5677342.68
6.771801699;51.23800053;417;Cecilienallee 2;Rosskastanie;155;Stammschäden;32344457.91;5678650.86
6.76919178;51.24336206;558;Cecilienallee 21;Rosskastanie;265;Pilzbefall;32344293.85;5679252.54
6.76882725;51.24389508;573;Cecilienallee 26;Rosskastanie;240;Sturmschaden;32344270.21;5679312.58
6.769375081;51.24363959;823;Cecilienallee 23;Weißdorn;60;abgestorben;32344307.58;5679283.01
6.774329445;51.22531451;1034;Flinger Straße 34;Thüringische Mehlbeere;73;abgestorben;32344591.60;5677234.95
6.774808466;51.22537857;1035;Flinger Straße 40;Thüringische Mehlbeere;80;absterbend;32344625.26;5677241.06
6.794352191;51.22752564;1154;Gerresheimer Straße 32;Schwedische Mehlbeere;45;abgestorben;32345996.93;5677438.64
6.778026814;51.21897172;1217;Graf-Adolf-Platz 10;Silber-Linde;40;Pilzbefall (Feuerschwamm);32344828.41;5676521.88
6.790375589;51.22512944;1593;Hohenzollernstraße 21;Robinie;153;Pilzbefall (Hallimasch);32345711.29;5677180.55
6.789927442;51.22436687;2072;Klosterstraße 88;Robinie;165;Pilzbefall;32345677.45;5677096.70
6.772458937;51.22725255;2582;Mühlenstraße 4;Robinie;100;Sturmschaden;32344467.54;5677454.40
6.794863616;51.22879735;2852;Schützenstraße 5;Gingko;30;absterbend;32346036.88;5677578.97
6.737979388;51.28820764;5230;Niederrheinstraße 277;Hängeesche;210;trocken;32342269.17;5684305.56
6.731328374;51.33024754;5669;Sonnenacker 71;Kirsche;80;abgestorben;32341949.99;5688994.32
6.791342344;51.28866579;5863;Ungelsheimer Weg 3;Amberbaum;30;abgestorben;32345991.30;5684243.18
6.790987545;51.28853651;5864;Ungelsheimer Weg 5;Amberbaum;30;abgestorben;32345966.13;5684229.55
6.799865804;51.2437614;8096;Grunerstraße 28;Robinie;160;Morschung & Schrägstand;32346435.94;5679232.36
6.786140367;51.27982311;11321;Tilde-Klose-Weg 6;Schwarzerle;90;abgestorben;32345598.95;5683270.88
6.801471733;51.23910244;11532;Weseler Straße 59;Robinie;200;Pilzbefall (Schwefelporling);32346532.51;5678710.97
6.818614095;51.25976764;14673;Eckampstraße 24;Echte Mehlbeere;80;abgestorben;32347797.26;5680973.08
6.818058311;51.2596874;14677;Eckampstraße 18;Echte Mehlbeere;60;abgestorben;32347758.22;5680965.31
6.741647892;51.23140785;21889;Columbusstraße 29;Weißdorn;69;abgestorben;32342330.68;5677982.11
6.75113059;51.23034112;21932;Dominikanerstraße 14;Robinie;210;Morschung;32342989.02;5677843.19
6.752730814;51.2291178;21969;Drakeplatz;Weißdorn;30;abgestorben;32343096.57;5677703.75
6.746214241;51.23221702;22358;Hansaallee 4;Rosskastanie;180;Morschung;32342652.21;5678062.29
6.743712143;51.234654;22400;Hansaallee 44-96;Rosskastanie;90;Stammschäden;32342485.87;5678338.62
6.741357851;51.235788;22429;Hansaallee 112;Rosskastanie;210;absterbend;32342325.41;5678469.76
6.740521901;51.23592853;22473;Hansaallee 17;Rosskastanie;165;Unfallschaden;32342267.54;5678487.18
6.740971241;51.23577514;22479;Hansaallee 11c;Rosskastanie;180;Morschung;32342298.38;5678469.16
6.738434618;51.23663395;22546;Hansaallee 33;Holländische Linde;85;Morschung;32342124.26;5678570.10
6.751870146;51.23588309;22726;Hartwichstraße 1;Rosskastanie;185;Sturmschaden & Pilzbefall;32343059.51;5678457.82
6.747482515;51.2332186;23531;Lanker Straße 32;Echte Mehlbeere;125;Pilzbefall (Lackporling);32342744.16;5678170.94
6.747252811;51.23310266;23533;Lanker Straße 19;Echte Mehlbeere;90;Pilzbefall;32342727.73;5678158.54
6.746945997;51.23242466;23540;Lanker Straße 5;Echte Mehlbeere;125;Morschung;32342704.00;5678083.81
6.759738354;51.22942156;24025;Markgrafenstraße 24;Robinie;200;Pilzbefall (Schwefelporling);32343586.81;5677722.58
6.758070005;51.22767424;24037;Markgrafenstraße 19;Robinie;250;Pilzbefall (Schwefelporling);32343464.41;5677531.85
