longiude;latitude;baum_ID;strasse;deutsch;stammumfang;grund_der_faellung;rechtswert;hochwert
6.780579372419014;51.22934861417635;280003;Opern-Passage Hofgarten;Bergahorn;165;Rußrindenkrankheit;32345041.51;5677670.3
6.7775799424530145;51.23206403881183;280660;Weyhepassage Hofgarten Gehölzbepflanzung;Bergahorn;251;Rußrindenkrankheit;32344841.25;5677978.56
6.76722045530168;51.21764624978439;38421;Hubertusstraße;Echte Mehlbeere;72;Stammschäden;32344069.35;5676397.38
6.779554666554334;51.21568487793071;102667;Herzogstraße;Spitzahorn;42;Pilzbefall;32344924.05;5676153.19
6.782353668449157;51.2301299891968;279692;Jägerhofpassage Hofgarten Gehölzbepflanzung;Buche;176;abgestorben;32345168;5677753.44
6.790721601444155;51.2296780992795;2640;Pempelforter Straße;Esche;120;Sturmschaden;32345750.66;5677685.59
6.773739968576728;51.23188589337429;365781;Helmut-Hentrich-Platz;Bergahorn;180;Rußrindenkrankheit;32344572.59;5677966.87
6.719877265641196;51.24729811683421;133345;Büdericher Straße Büderlicher Straße;Bergahorn;135;abgestorben;32340865.7680138;5679795.89397179
6.719955121480553;51.247140748548674;357951;Büderlicher Straße;Süßkirsche;125;Pilzbefall: Hallimasch;32340870.6577994;5679778.22756773
6.728189662314846;51.23200493978151;133422;Am Heerdter Krankenhaus Heerdter Rheinpark;Pappel;310;Stammfußfäule;32341393.2381817;5678077.47375126
6.756381903373404;51.238018181378024;358055;San-Remo-Straße Park;Sandbirke;88;absterbend;32343381.6905503;5678685.58997096
6.723005062223777;51.23625205574667;358137;Albertussee;Bergahorn;45;absterbend;32341045.9562033;5678560.91534812
6.716264085249502;51.23347382131146;132853;Benediktusstraße;Holzpappel;390;Pilzbefall: Lackporling;32340565.8254275;5678266.61525205
6.710007573169693;51.235719703560335;358195;Ökotop Heerdt;Salweide;43;abgestorben;32340136.8766072;5678529.93165476
6.709717930686044;51.235391136178514;131785;Am Ökotop Ökotop Heerdt Anlagenbaum;Süßkirsche;80;abgestorben;32340115.5198705;5678494.02896265
6.708263577851012;51.235196845527334;358221;Ökotop Heerdt;Eberesche;60;abgestorben;32340013.3291221;5678475.59271529
6.707397288930794;51.23518319920425;358229;Ökotop Heerdt;Korbweide;85;absterbend;32339952.8128708;5678475.96263999
