,lat,lon,reason,name,dia,year,season
0,51.22518652,6.77267516,Abgestorben,Robinie,,2018,so
1,51.22525221,6.79015186,Sonst,Robinie,,2018,so
2,51.2198795,6.77896267,Sonst,Kastanie,,2018,so
3,51.21557705,6.77008506,Sonst,Platane,,2018,so
4,51.22634978,6.7869735,Sonst,Robinie,,2018,so
5,51.21814927,6.78904885,Sonst,Baumhasel,,2018,so
6,51.22210452,6.77157095,Sonst,Spitzahorn,,2018,so
7,51.2160742,6.77255774,Sonst,Mehlbeere,,2018,so
8,51.29877408,6.73519764,Stammschaden,Linde,380.0,2018,so
9,51.29884191,6.73528668,Stammschaden,Linde,280.0,2018,so
10,51.29911155,6.73562675,Morschung,Linde,340.0,2018,so
11,51.299384,6.73597745,Morschung,Linde,240.0,2018,so
12,51.29945092,6.73606611,Morschung,Linde,350.0,2018,so
13,51.29818847,6.73244554,Abgestorben,Linde,180.0,2018,so
14,51.29823903,6.73241852,Morschung,Linde,350.0,2018,so
15,51.30458925,6.75193861,Sturmschaden,Linde,170.0,2018,so
16,51.30459662,6.75183523,Pilzbefall,Linde,240.0,2018,so
17,51.2921489,6.73634709,Sturmschaden,Bergahorn,240.0,2018,so
18,51.30557009,6.75826018,Sonst,Sumpfeiche,,2018,so
19,51.33036914,6.7316303,Morschung,Kirsche,50.0,2018,so
20,51.33126391,6.72815172,Abgestorben,Kirsche,30.0,2018,so
21,51.23287277,6.75933002,Morschung,Gemeine Esche,125.0,2018,so
22,51.2360227,6.72753041,Pilzbefall,Scheinakazie,250.0,2018,so
23,51.23789084,6.71030079,Komplexerkrankung,Ross-Kastanie,230.0,2018,so
24,51.23018902,6.75768418,Stammschaden,Bergahorn,250.0,2018,so
25,51.24435456,6.73293377,Sturmschaden,Sumpfeiche,190.0,2018,so
26,51.32848234,6.73409406,Komplexerkrankung,Kastanie,280.0,2018,so
27,51.30478543,6.74954829,Morschung,Linde,280.0,2018,so
28,51.30474897,6.75112833,Pilzbefall,Linde,270.0,2018,so
29,51.30683091,6.742723799999999,Abgestorben,Gemeine Esche,250.0,2018,so
30,51.30910295,6.74339086,Sonst,Linde,,2018,so
31,51.30588086,6.74439048,Sonst,Bergahorn,,2018,so
32,51.31311142,6.74360312,Rußrindenkrankheit,Bergahorn,140.0,2018,so
33,51.31307263,6.74360631,Abgestorben,Bergahorn,230.0,2018,so
34,51.31298849,6.74385124,Abgestorben,Bergahorn,90.0,2018,so
35,51.33051861,6.78453799,Abgestorben,Linde,150.0,2018,so
36,51.33785174,6.79317018,Sonst,Rotbuche,,2018,so
37,51.33786407,6.79266491,Sonst,Stiel-Eiche,,2018,so
38,51.29737,6.733459799999999,Morschung,Linde,350.0,2018,so
39,51.23650305,6.74464743,Morschung,Silberweide,190.0,2018,so
40,51.27603208,6.73324547,Sonst,Gemeine Esche,,2018,so
41,51.21563772,6.77142835,Abgestorben,Winterlinde,90.0,2018,so
42,51.32673715,6.73693994,Pilzbefall,Traubenkirsche,220.0,2018,so
43,51.33365056,6.72856175,Sonst,Hainbuche,,2018,so
44,51.33037952,6.732064200000001,Sonst,Kirsche,,2018,so
45,51.30016363,6.76210465,Morschung,Italienische Pyramiden-Pappel,420.0,2018,so
46,51.30014996,6.76209986,Morschung,Italienische Pyramiden-Pappel,480.0,2018,so
47,51.30005108,6.76214499,Morschung,Linde,420.0,2018,so
48,51.23355371,6.70664982,Pilzbefall,Silberahorn,230.0,2018,so
49,51.24432701,6.73299273,Sturmschaden,Sumpfeiche,210.0,2018,so
50,51.32828853,6.78604211,Morschung,Rotbuche,180.0,2018,so
51,51.3056794,6.75867553,Sonst,Sumpfeiche,,2018,so
52,51.29729845,6.73547815,Sonst,Schwarzpappel,,2018,so
53,51.29730908,6.73550675,Sonst,Schwarzpappel,,2018,so
54,51.21142458,6.78284877,Stammschaden,Robinie,160.0,2018,so
55,51.21068475,6.78248755,Abgestorben,Robinie,95.0,2018,so
56,51.20713357,6.77306943,Abgestorben,Bergulme,118.0,2018,so
57,51.19605529,6.78288735,Pilzbefall,Robinie,240.0,2018,so
58,51.19650259,6.78180821,Abgestorben,Robinie,200.0,2018,so
59,51.21058677,6.78249011,Stammschaden,Robinie,90.0,2018,so
60,51.20974407,6.78247605,Abgestorben,Robinie,95.0,2018,so
61,51.21261115,6.7825091,Stammschaden,Robinie,155.0,2018,so
62,51.20591946,6.78063682,Abgestorben,Winterlinde,200.0,2018,so
63,51.20589294,6.78054261,Abgestorben,Winterlinde,200.0,2018,so
64,51.21217367,6.77216611,Morschung,Robinie,175.0,2018,so
65,51.21226397,6.7546219,Abgestorben,Robinie,145.0,2018,so
66,51.21237070000001,6.75411039,Abgestorben,Robinie,130.0,2018,so
67,51.2124313,6.75381418,Abgestorben,Robinie,140.0,2018,so
68,51.20101079,6.77173757,Pilzbefall,Mehlbeere,150.0,2018,so
69,51.21266986,6.78715767,Morschung,Mehlbeere,70.0,2018,so
70,51.21260439,6.78699629,Pilzbefall,Mehlbeere,180.0,2018,so
71,51.21148694,6.76990169,Pilzbefall,Mehlbeere,95.0,2018,so
72,51.2107783,6.78822661,Morschung,Rotblühende Kastanie,210.0,2018,so
73,51.21321928,6.77084967,Pilzbefall,Mehlbeere,55.0,2018,so
74,51.21314223,6.77120936,Pilzbefall,Mehlbeere,90.0,2018,so
75,51.18500717,6.76481251,Abgestorben,Straßenakazie 'Monophylla',170.0,2018,so
76,51.21358892,6.75805479,Abgestorben,Hängeesche,47.0,2018,so
77,51.21302531,6.75787268,Pilzbefall,Mehlbeere,120.0,2018,so
78,51.21324447,6.75788595,Pilzbefall,Mehlbeere,115.0,2018,so
79,51.21367478,6.75791215,Abgestorben,Mehlbeere,55.0,2018,so
80,51.20184322,6.79314886,Pilzbefall,Scheinakazie,233.0,2018,so
81,51.21346082,6.79070114,Pilzbefall,Scheinakazie,115.0,2018,so
82,51.21642536,6.79500374,Pilzbefall,Scheinakazie,97.0,2018,so
83,51.21521532,6.79933817,Pilzbefall,Scheinakazie,115.0,2018,so
84,51.21626543,6.79561326,Morschung,Scheinakazie,124.0,2018,so
85,51.21512741,6.79959869,Morschung,Scheinakazie,109.0,2018,so
86,51.21603579,6.79643288,Morschung,Scheinakazie,118.0,2018,so
87,51.21247808,6.80813052,Pilzbefall,Mehlbeere,90.0,2018,so
88,51.21356323,6.79304374,Stammschaden,Spitzahorn,182.0,2018,so
89,51.20032959,6.790238499999999,Morschung,Spitzahorn,117.0,2018,so
90,51.1983557,6.78512405,Stammschaden,Linde,190.0,2018,so
91,51.21153201,6.79770467,Sonst,Rotdorn,,2018,so
92,51.2058043,6.79024456,Komplexerkrankung,Ross-Kastanie,205.0,2018,so
93,51.21269771,6.81544783,Komplexerkrankung,Ross-Kastanie,132.0,2018,so
94,51.21258759,6.81533505,Komplexerkrankung,Ross-Kastanie,149.0,2018,so
95,51.22165426,6.8113602,Pilzbefall,Mehlbeere,114.0,2018,so
96,51.21222521,6.80217916,Morschung,Scheinakazie,186.0,2018,so
97,51.21218819,6.80185059,Morschung,Scheinakazie,155.0,2018,so
98,51.21220777,6.80176775,Morschung,Scheinakazie,130.0,2018,so
99,51.21262724,6.79205066,Morschung,Scheinakazie,156.0,2018,so
100,51.21959357,6.80770053,Pilzbefall,Spitzahorn,110.0,2018,so
101,51.20039369,6.78921376,Pilzbefall,Scheinakazie,207.0,2018,so
102,51.19903434,6.79225361,Morschung,Scheinakazie,209.0,2018,so
103,51.19861785,6.79315888,Morschung,Scheinakazie,204.0,2018,so
104,51.17920675,6.81006837,Sonst,Fächerblattbaum,,2018,so
105,51.13678308,6.91368537,Abgestorben,Scheinakazie,100.0,2018,so
106,51.14587625,6.885405,Abgestorben,Hainbuche,125.0,2018,so
107,51.14585432,6.88546048,Abgestorben,Hainbuche,160.0,2018,so
108,51.13463455,6.91557778,Stammschaden,Vogelkirsche,60.0,2018,so
109,51.1483981,6.88523895,Pilzbefall,Mehlbeere,40.0,2018,so
110,51.13826462,6.90001418,Sonst,Spitzahorn,,2018,so
111,51.18432302,6.8262692,Pilzbefall,Robinie,190.0,2018,so
112,51.18456051,6.82593862,Pilzbefall,Robinie,180.0,2018,so
113,51.1844559,6.82589904,Pilzbefall,Robinie,160.0,2018,so
114,51.18358108,6.8272437,Pilzbefall,Robinie,200.0,2018,so
115,51.21359056,6.77226724,Morschung,Robinie,150.0,2018,so
116,51.21367981,6.77216485,Abgestorben,Robinie,130.0,2018,so
117,51.21425179,6.79070937,Pilzbefall,Scheinakazie,206.0,2018,so
118,51.20040634,6.78976915,Stammschaden,Sandbirke,133.0,2018,so
119,51.23454237,6.78517552,Sonst,Scheinakazie,,2018,so
120,51.25572644,6.80983882,Abgestorben,Bergahorn,112.0,2018,so
121,51.25616857,6.80860986,Pilzbefall,Sandbirke,125.0,2018,so
122,51.24195072,6.81161887,Morschung,Scheinakazie,76.0,2018,so
123,51.250677200000005,6.80428687,Sonst,Ross-Kastanie,,2018,so
124,51.24379129999999,6.79720111,Sturmschaden,Ross-Kastanie,50.0,2018,so
125,51.25309434,6.79427532,Riss,Scheinakazie,174.0,2018,so
126,51.25294769,6.79501224,Sonst,Scheinakazie,,2018,so
127,51.24461848,6.77189704,Pilzbefall,Scheinakazie,184.0,2018,so
128,51.24432501,6.77088642,Pilzbefall,Platane,451.0,2018,so
129,51.25852589,6.81282651,Abgestorben,Bergahorn,98.0,2018,so
130,51.26428546,6.81249168,Pilzbefall,Eberesche,148.0,2018,so
131,51.26321985,6.81274369,Pilzbefall,Eberesche,80.0,2018,so
132,51.25761282,6.80602172,Abgestorben,Bergahorn,93.0,2018,so
133,51.257510499999995,6.80591293,Abgestorben,Bergahorn,150.0,2018,so
134,51.25707875,6.8054489,Abgestorben,Bergahorn,121.0,2018,so
135,51.26140392,6.80496993,Abgestorben,Linde,163.0,2018,so
136,51.26121084,6.80383427,Morschung,Bergahorn,80.0,2018,so
137,51.26458189,6.80374378,Fäule,Scheinakazie,118.0,2018,so
138,51.26851353,6.79787822,Komplexerkrankung,Ross-Kastanie,98.0,2018,so
139,51.26835126,6.79793889,Komplexerkrankung,Ross-Kastanie,101.0,2018,so
140,51.26812342,6.79803293,Sturmschaden,Ross-Kastanie,55.0,2018,so
141,51.26772515,6.79818401,Komplexerkrankung,Ross-Kastanie,99.0,2018,so
142,51.27022149,6.79720945,Komplexerkrankung,Ross-Kastanie,121.0,2018,so
143,51.27015359,6.79684138,Komplexerkrankung,Ross-Kastanie,157.0,2018,so
144,51.26964847,6.79742668,Komplexerkrankung,Ross-Kastanie,149.0,2018,so
145,51.26867829,6.79781157,Komplexerkrankung,Ross-Kastanie,60.0,2018,so
146,51.27498008,6.7867145,Pilzbefall,Eberesche,124.0,2018,so
147,51.26596869,6.7768106,Sonst,Linde,,2018,so
148,51.26277964,6.77744846,Pilzbefall,Scheinakazie,116.0,2018,so
149,51.27125003,6.77544119,Sonst,Mehlbeere,,2018,so
150,51.24488068,6.81000173,Sturmschaden,Scheinakazie,243.0,2018,so
151,51.24059894,6.78674987,Abgestorben,Bergahorn,274.0,2018,so
152,51.24749221,6.7862254,Sonst,Scheinakazie,,2018,so
153,51.24737002,6.786688099999999,Sonst,Scheinakazie,,2018,so
154,51.24353033,6.77254356,Sturmschaden,Ross-Kastanie,151.0,2018,so
155,51.23069614,6.79334079,Sonst,Spitzahorn,,2018,so
156,51.24980602,6.77478678,Sonst,Eberesche,,2018,so
157,51.23492671,6.8636574999999995,Morschung,Scheinakazie,155.0,2018,so
158,51.2347943,6.86341006,Sonst,Scheinakazie,,2018,so
159,51.2352282,6.86388091,Sonst,Scheinakazie,,2018,so
160,51.23521455,6.86377381,Sonst,Scheinakazie,,2018,so
161,51.23482793,6.8572576000000005,Sonst,Scheinakazie,,2018,so
162,51.24198897,6.85103365,Morschung,Apfel,167.0,2018,so
163,51.23796196,6.85346923,Pilzbefall,Eberesche,152.0,2018,so
164,51.23451529,6.86145393,Sonst,Scheinakazie,,2018,so
