Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2018;4,5;6,8;9,3;2,2;10,2;4,1;71;85,70;100;15;56
02.01.2018;5,0;5,8;7,2;0,1;15,6;4,3;82;94,70;100;11;35
03.01.2018;4,2;7,6;11,1;0,0;7,6;3,2;72;89,70;100;19;80
04.01.2018;6,8;8,3;11,4;0,0;3,4;6,2;71;88,00;100;13;59
05.01.2018;3,0;8,2;10,3;0,7;0,3;0,4;76;83,10;97;11;44
06.01.2018;1,0;4,7;7,5;0,0;0,0;-0,7;87;94,00;100;6;28
07.01.2018;1,9;3,5;5,5;0,0;0,0;1,1;81;86,60;95;16;44
08.01.2018;0,8;3,2;7,4;2,4;0,0;-1,2;74;87,50;99;10;35
09.01.2018;0,0;5,2;8,3;0,7;0,0;-1,5;82;88,70;100;9;37
10.01.2018;6,2;7,8;10,0;-;-;5,6;76;87,00;97;10;-
11.01.2018;-;-;-;-;-;0,6;85;96,10;100;4;-
12.01.2018;4,2;4,9;5,9;0,0;0,0;3,6;96;99,20;100;4;13
13.01.2018;3,9;5,4;7,4;1,7;0,0;2,5;69;82,80;100;10;39
14.01.2018;1,7;3,6;5,6;5,8;0,0;0,8;70;76,90;84;14;41
15.01.2018;1,9;4,6;7,5;0,7;9,4;1,2;81;87,00;96;17;50
16.01.2018;1,6;4,5;7,4;0,8;8,3;-0,6;82;90,00;96;12;65
17.01.2018;1,2;2,9;4,4;1,1;4,3;0,2;82;89,20;97;14;59
18.01.2018;1,3;5,2;11,0;0,4;3,6;-0,4;61;84,70;100;19;93
19.01.2018;1,6;3,4;6,2;3,0;0,8;0,7;77;90,20;100;10;33
20.01.2018;1,7;2,6;4,3;0,0;6,0;0,4;84;95,10;100;7;28
21.01.2018;1,7;2,9;5,0;0,7;1,6;0,6;82;91,60;100;10;35
22.01.2018;1,7;5,4;8,5;0,1;2,1;1,5;87;94,50;100;10;39
23.01.2018;5,5;7,7;11,0;0,8;0,1;4,6;77;88,60;99;11;35
24.01.2018;10,4;12,0;14,0;0,8;3,2;10,1;71;82,60;92;16;56
25.01.2018;6,0;7,9;12,5;0,0;2,1;5,2;79;95,30;100;8;43
26.01.2018;3,5;5,7;8,2;0,0;0,0;1,4;87;96,80;100;4;13
27.01.2018;3,1;5,9;8,9;5,0;0,6;2,0;73;90,00;100;8;35
28.01.2018;5,0;8,3;10,6;0,0;0,0;4,7;85;93,80;100;12;37
29.01.2018;5,5;9,4;10,5;0,0;1,0;3,9;81;87,70;100;14;46
30.01.2018;1,2;4,3;7,3;4,1;0,4;-0,8;80;93,50;100;6;24
