baum_id;strasse;deutsch;stammumfang;grund_fuer_faellung;latitude;longitude
68;Arnoldstraße 15;Mehlbeere;72;Pilzbefall;51.23397516;6.77674576
279579;Jägerhofpassage;Bergahorn;227;abgestorben;51.23043732;6.78523145
279124;Jägerhofpassage;Spitzahorn;142;abgestorben;51.229472;6.78698812
279523;Jägerhofpassage;Stieleiche;140;abgestorben;51.23005481;6.78648057
2126;Königsallee 28;Kastanie;185;abgestorben;51.22031065;6.77929851
2100;Königsallee 40;Kastanie;174;abgestorben;51.22397075;6.77940632
2093;Königsallee 90;Kastanie;173;abgestorben;51.22475395;6.77942691
2165;Königsallee gegenüber 26;Kastanie;155;abgestorben;51.22487841;6.77920837
2159;Königsallee gegenüber 40;Kastanie;157;abgestorben;51.22386317;6.77917761
2152;Königsallee gegenüber 64;Kastanie;163;abgestorben;51.22195143;6.77912242
2377;Liefergasse;Scheinakazie;75;überwiegend abgestorben;51.22764008;6.7733608
2389;Liesegangstraße 9;Kastanie;78;abgestorben;51.22656413;6.78677558
39927;Mühlenstraße;Eberesche;44;abgestorben;51.22722713;6.77273418
279921;Opern-Passage;Bergahorn;179;abgestorben;51.22901911;6.77790831
279781;Opern-Passage;Eibe;134;abgestorben;51.22725132;6.77869863
2690;Ratinger Mauer;Kugelscheinakazie;103;Unfallschaden;51.22945821;6.77579911
2866;Schützenstraße 71;Winterlinde;134;abgestorben;51.22645027;6.79405599
281015;Weyhepassage;Vogelkirsche;165;abgestorben;51.2328099;6.77351801
1627;Hubertusstraße;Mehlbeere;80;Pilzbefall am Kronenansatz;51.21751329;6.76753435
282852;Kaiserteich;Silberahorn;240;überwiegend abgestorben;51.21756118;6.77508456
334643;Neusser Straße;Esche;36;Stammschäden, Schrägstand, Rißbildung;51.21709444;6.76587984
40917;Reichsstraße 41;Amberbaum;36;abgestorben;51.21604086;6.77244093
3103;Talstraße 2;Scheinakazie;115;Pilzbefall  (Schwefelporling);51.21728483;6.77872956
206307;Cecilienallee ;Kastanie;210;Sturmschaden;51.2459043;6.76634085
846;Cecilienallee 11;Rotdorn;60;überwiegend abgestorben;51.24237981;6.77035879
827;Cecilienallee 21;Rotdorn;45;Sturmschaden;51.24340198;6.76958732
200978;Cecilienallee 26;Zierapfel;56;abgestorben;51.24402161;6.76902015
810;Cecilienallee 33;Rotdorn;45;abgestorben;51.24424342;6.76880939
806;Cecilienallee 34;Rotdorn;55;abgestorben;51.24441732;6.76860939
597;Cecilienallee 36;Kastanie;110;abgestorben;51.24462639;6.76806064
784;Cecilienallee 43 a;Rotdorn;55;abgestorben;51.24544914;6.76742499
863;Cecilienallee 6;Rotdorn;50;abgestorben;51.24069575;6.77126466
336417;B 7;Feldahorn;80;überwiegend abgestorben;51.23426482;6.72918473
336429;B 7;Kirsche;150;abgestorben;51.24065235;6.7432386
336416;B 7;Pappel;150;abgestorben;51.23424932;6.72879397
336414;B 7;Spitzahorn;90;abgestorben;51.23426556;6.72855106
331191;B 7;Hainbuche;80;Sturmschaden;51.23430088;6.72718392
336412;B 7;Pappel;275;Sturmschaden;51.23446585;6.72670833
336413;B 7;Pappel;195;Sturmschaden;51.23448981;6.72642364
336420;B 7;Pappel;150;Sturmschaden;51.23420264;6.72957702
336418;B 7;Götterbaum;175;Unfallschaden;51.23426471;6.72924419
336419;B 7;Götterbaum;180;Unfallschaden;51.23423817;6.72929463
336415;B 7;Pappel;120/120/120;Unfallschaden;51.23425408;6.72864116
336411;B 7;Spitzahorn;125;Unfallschaden;51.23444593;6.72686819
21662;Baldurstraße 31;Eberesche;90;Pilzbefall (Lackporling);51.22997293;6.72181024
21707;Barmer Straße 14;Rotdorn;50;Unfallschaden;51.23019448;6.74703362
21764;Benediktusstraße 13;Eberesche;120;Pilzbefall (Lackporling);51.23370655;6.71598387
21765;Benediktusstraße 13;Eberesche;130;Pilzbefall (Lackporling);51.23378953;6.71594567
21763;Benediktusstraße 15;Eberesche;120;überwiegend abgestorben;51.23363211;6.71601793
21748;Benediktusstraße 45;Eberesche;90;Pilzbefall am Kronenansatz, zottiger Schillerporling;51.23228423;6.71664438
19;Brend'amourstraße 4;Mehlbeere;30;abgestorben;51.23114278;6.76101273
22477;Hansaallee 17;Kastanie;160;Morschung;51.2358298;6.74081212
22586;Hansaallee 198;Linde;180;Morschung;51.23756386;6.73611275
22685;Hansaallee 201;Linde;150;Stammschäden;51.24129542;6.72466192
22547;Hansaallee 33;Linde;195;Morschung;51.23665838;6.73835835
22550;Hansaallee 49;Linde;110;Morschung;51.23673792;6.7381278
22398;Hansaallee gegenüber 44;Kastanie;60;Stammschäden;51.23443175;6.74391613
336438;Heerdter Landstraße Freizeitanlage;Kugel-Ahorn;40;abgestorben;51.23212142;6.70923212
331184;Heerdter Lohweg;Pappel;350;Sturmschaden;51.23468133;6.72624042
331185;Heerdter Lohweg;Pappel;350;Sturmschaden;51.23465551;6.72613368
22853;Heerdter Lohweg 216;Kastanie;150;Stammschäden, Stammschaden, Komplexkrankheit, Wurzelhochstand;51.23706544;6.72753575
22824;Heerdter Lohweg 226 b;Kastanie;210;abgestorben;51.23946935;6.72792888
22906;Hohenstaufenstraße gegenüber 2;Schnurbaum;235;Stammschäden;51.23601332;6.76035287
132729;Im Kämpchen;Ahorn;155;Sturmschaden;51.23386447;6.72332445
297306;Kaiser-Wilhelm-Ring Vorflutgelände;Weide;170;Morschung;51.22414718;6.76135605
41366;Knechtstedenstraße 41;Eschen-Ahorn;180;Morschung, Mehrstämmig mit Zwieselbildung diverse Höhlungen und morschende Schnittstellen;51.23145003;6.70278755
41446;Krefelder Straße 165 a;Bergahorn;175;abgestorben;51.2378141;6.71005603
41717;Krefelder Straße 95;Bergahorn;85;Morschung;51.235312;6.71457902
41718;Krefelder Straße 95;Bergahorn;90;Morschung;51.23530744;6.7145665
41719;Krefelder Straße 95;Bergahorn;90;Morschung;51.23530243;6.7145679
37463;Lütticher Straße Ecke Niederkasseler Kirchweg;Feldahorn;95;Morschung;51.23780091;6.74485229
37469;Lütticher Straße Ecke Niederkasseler Kirchweg;Feldahorn;125;Morschung;51.23762681;6.74490908
