Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.771276263382446;51.21988889956108;369335;Poststraße 25 ;Winter-Linde;250;abgestorben;32344360.13;5676638.14
6.77080164875079;51.22180655940396;318841;Spee'scher Palais, GA;Rotbuche;400;Pilzbefall;32344333.46;5676852.37
6.7805750752740455;51.22972959134473;279992;Opern-Passage  Hofgarten ;Tulpenbaum;371;Pilzbefall;32345042.49;5677712.67
6.776406992749047;51.23284559848223;280831;Weyhepassage  Hofgarten ;Rotbuche;479;Pilzbefall;32344762;5678067.94
6.774500942414418;51.2161017435585;282906;STAENDEHAUSANLAGEN, GA;Schnurbaum;212;Pilzbefall;32344572.54;5676210.22
6.786833271209372;51.229731774028956;279156;Jägerhofpassage  Hofgarten ;Schwarz-Pappel;395;Pilzbefall;32345479.39;5677699.73
6.775760625955246;51.23235278340352;380497;Weyhepassage  Hofgarten ;Rotbuche;255;Stammschäden;32344715.22;5678014.51
6.771646761344688;51.21865537769209;282715;Kaiserteich/Schwanenspiegel;Trompetenbaum;231;absterbend ;32344381.84;5676500.2
6.787021482291148;51.23028124521397;279143;Jägerhofpassage  Hofgarten ;Silberahorn;231;abgestorben ;32345494.37;5677760.43
6.779330352935036;51.230546332226695;280188;Weyhepassage  Hofgarten ;Rotbuche;233;Pilzbefall;32344958.34;5677806.11
6.778364295094785;51.2322769753362;280702;Weyhepassage  Hofgarten ;Bergahorn;147;abgestorben;32344896.72;5678000.58
6.761378712354094;51.24845330673881;301741;Cecilienallee  Rheinpark;Hybrid-Pappel;265;Stammschäden;32343765.83;5679835.23
6.764742348666059;51.2451962800201;358359;Neuwerker Straße Park;Bergahorn;80;absterbend;32343989.53;5679465.93
6.765267610256774;51.24481599169028;337079;Cecilienallee  Rheinpark ;Stiel-Eiche;45;absterbend ;32344024.9;5679422.53
6.767280352227189;51.242450789786425;131488;Cecilienallee Rheinpark ;Hybrid-Pappel;400;Stammfäule;32344157.37;5679155.27
6.769301270318467;51.23996555523961;131652;Cecilienallee  Rheinpark ;Spitzahorn;320;absterbend;32344290.02;5678874.65
6.756155230062997;51.227126152138815;22097;Düsseldorfer Straße 9;Kaiserlinde;195;Pilzbefall;32343328.87;5677474.99
6.762813960796067;51.231319338438354;134103;Kaiser-Wilhelm-Ring 4;Graupappel;185;abgestorben;32343807.95;5677927.05
6.760644465411557;51.227027084352;133688;Kaiser-Wilhelm-Ring 4 ;Bergahorn;165;Rußrindenkrankheit;32343641.95;5677454.41
6.75994380391513;51.22644221478781;133724;Kaiser-Wilhelm-Ring 4 ;Hainbuche;75;abgestorben;32343591.05;5677390.87
6.75936125284055;51.226681440962274;297274;Kaiser-Wilhelm-Ring 4 ;Feldahorn;45;abgestorben;32343551.19;5677418.71
6.759927458697042;51.22665783880326;133715;Kaiser-Wilhelm-Ring 3 ;Hainbuche;100;abgestorben;32343590.64;5677414.88
6.759484416255658;51.22666707175565;133710;Kaiser-Wilhelm-Ring 4 ;Bergahorn;105;Rußrindenkrankheit;32343559.74;5677416.85
6.7594431712616485;51.22668462880866;133707;Kaiser-Wilhelm-Ring 3 ;Bergahorn;180;Rußrindenkrankheit;32343556.92;5677418.89
6.699311896646424;51.229029065977606;23419;Kevelaerer Straße Böschung Kreuzungsbereich;Bergahorn;90;Rußrindenkrankheit;32339367;5677809.34
6.714802844457075;51.2311169556923;22898;Heesenstraße 9;Bergahorn;80;Rußrindenkrankheit;32340455.67;5678007.73
6.700369714907081;51.23472857780787;368632;Zülpicher Straße ggü. 12 Grünstreifen;Bergahorn;150;abgestorben;32339460.69;5678440.75
6.700467612801323;51.23469308837079;368633;Zülpicher Straße ggü. 12 Grünstreifen;Bergahorn;60;abgestorben;32339467.4;5678436.59
6.704127267770824;51.23332804369602;41423;Knechtstedenstraße , GA;Bergahorn;90;Rußrindenkrankheit;32339718.11;5678276.82
6.704152564054296;51.23329760182914;41414;Knechtstedenstraße , GA;Bergahorn;150;Rußrindenkrankheit;32339719.77;5678273.38
6.757387724534033;51.22585461308163;297318;Rheinanlagen, GA;Bergahorn;210;Rußrindenkrankheit;32343410.6;5677330.98
6.755241070182216;51.22589366418486;318641;Rheinanlagen, GA;Bergahorn;130;Rußrindenkrankheit;32343260.86;5677339.9
6.755541670196859;51.22588279374136;318632;Rheinanlagen, GA;Bergahorn;112;Rußrindenkrankheit;32343281.81;5677338.05
6.752549598457477;51.22619345833099;297331;Rheinanlagen, GA;Hainbuche;80;abgestorben;32343073.97;5677378.98
6.747595819980494;51.22740019197152;133909;Rheinallee ggü. 134;Bergahorn;100;Rußrindenkrankheit;32342732.23;5677523.75
6.734633420728818;51.2320779688753;24712;Alberichweg Kreuzung Pariser Straße Grünstreifen;Bergahorn;190;Rußrindenkrankheit;32341843.31;5678071.7
6.73476109035974;51.232179371226046;368641;Alberichweg Kreuzung Pariser Straße Grünstreifen;Silberahorn;490;Pilzbefall: Hallimasch;32341852.57;5678082.7
6.734893678472476;51.23209317111051;368642;Alberichweg Kreuzung Pariser Straße Grünstreifen;Bergahorn;290;Rußrindenkrankheit;32341861.53;5678072.83
6.7350742916719115;51.232023729476495;368643;Nibelungenstraße Kreutzung Pariser Straße;Bergahorn;123;Rußrindenkrankheit;32341873.9;5678064.72
6.731765533928617;51.232642691767246;24745;Pariser Straße ggü. Spielplatz Fußgängerweg;Bergahorn;159;Rußrindenkrankheit;32341645.05;5678140.67
6.731369908928212;51.2327350299154;24749;Pariser Straße ggü. Spielplatz Fußgängerweg;Bergahorn;125;Rußrindenkrankheit;32341617.75;5678151.79
6.730207911762837;51.233073945756644;368644;Simon-Gatzweiler-Platz zwischen Pariser Straße Gehölzbepflanzung;Bergahorn;299;Rußrindenkrankheit;32341537.8;5678191.98
6.735357463541933;51.23158402562536;134004;Pariser Straße Gehölzstreifen;Bergahorn;89;Rußrindenkrankheit;32341892.16;5678015.22
6.738369893346496;51.23068978428012;133922;Pariser Straße an Rheinalleetunnel;Bergahorn;100;Rußrindenkrankheit;32342099.39;5677909.31
6.738325982441792;51.23068551777741;25524;Düsseldorfer Straße Gehölzbepflanzung am Rheinalleetunnel;Bergahorn;90;Rußrindenkrankheit;32342096.31;5677908.93
6.738789561798681;51.23064690276362;42075;Düsseldorfer Straße Gehölzbepflanzung am Rheinalleetunnel;Bergahorn;80;Rußrindenkrankheit;32342128.54;5677903.64
6.7387743851326585;51.23065551312834;42076;Düsseldorfer Straße Gehölzbepflanzung am Rheinalleetunnel;Bergahorn;125;Rußrindenkrankheit;32342127.51;5677904.63
6.739789573456235;51.23049193068987;24821;Düsseldorfer Straße Gehölzbepflanzung am Rheinalleetunnel Fahrradweg;Bergahorn;499;Rußrindenkrankheit;32342197.82;5677884.26
6.7392875802088605;51.23070932057654;24793;Düsseldorfer Straße Gehölzbepflanzung am Rheinalleetunnel Fahrradweg;Bergahorn;130;Rußrindenkrankheit;32342163.52;5677909.51
6.728060579561163;51.24982619768885;22963;Josef-Willecke-Straße Fußgängerweg;Baumhasel;78;abgestorben;32341445.53;5680059.29
6.730354043542297;51.245654041308846;132219;Wevelinghover Straße ;Feldahorn;150;abgestorben;32341591.23;5679590.44
6.7294995774143676;51.24329218977133;357966;Wickrather Straße Anlagenbaum;Bergahorn;120;Rußrindenkrankheit;32341523.48;5679329.67
6.742988202181639;51.243565948751495;368645;Linnicher Straße 13 Gehölzbepflanzung;Vogel-Kirsche;125;abgestorben;32342465.79;5679331.09
6.748713092883439;51.241524163766826;368646;B 7 Böschung Kreuzung Lotharstraße;Vogel-Kirsche;125;abgestorben;32342858.37;5679091.8
6.744863727280949;51.23782181903067;37462;Lütticher Straße Kreuzung Niederkasseler Kirchweg Gehölzbepflanzung;Sandbirke;175;abgestorben;32342577.07;5678688.38
6.732346584217185;51.242496157128;26401;Walther-Hensel-Straße ggü. 6 Gehölzbepflanzung;Rosskastanie;110;abgestorben;32341719.44;5679235.02
6.737084751257259;51.239596882747996;368647;B 7  Böschung U-Bahn Linie;Bergahorn;80;Rußrindenkrankheit;32342040.19;5678902.45
6.737075148531038;51.239585275086114;368648;B 7  Böschung U-Bahn Linie;Bergahorn;80;Rußrindenkrankheit;32342039.48;5678901.18
6.735797551237711;51.238170768757264;368649;B 7  Böschung U-Bahn Linie;Vogel-Kirsche;150;abgestorben;32341945.46;5678746.65
6.750502590007729;51.24166084165747;368650;B 7 Böschung zwischen Brüsseler Straße und An der Apfelweide;Bergahorn;150;Rußrindenkrankheit;32342983.73;5679103.17
6.750993610222399;51.23429523944141;37521;Quirinstraße neben 49;Echte Mehlbeere;180;Pilzbefall: Zottiger Lackporling;32342992.92;5678283.14
6.7505525984783805;51.23380614102279;24901;Quirinstraße 36;Echte Mehlbeere;179;Pilzbefall: Zottiger Lackporling;32342960.47;5678229.7
6.735169069809549;51.236921617714295;42140;Prinzenallee Kreuzung Heerdter Sandberg Gehölzbepflanzung;Feldahorn;110;großflächiger Stammschaden & Stammfäule;32341897.31;5678609.11
6.735503471504465;51.237312119599935;42158;Prinzenallee Kreuzung Hansaallee Gehölzbepflanzung;Feldahorn;110;Stammfäule;32341921.99;5678651.81
6.735489371369604;51.23729583798637;42159;Prinzenallee Kreuzung Hansaallee Gehölzbepflanzung;Feldahorn;100;Stammfäule;32341920.95;5678650.03
6.71039339256121;51.23763021316212;23450;Krefelder Straße Kreuzung Berzeliusstraße Fußgängerweg;Kaiserlinde;150;absterbend ;32340170.43;5678741.52
6.711267650585366;51.237349719014624;41461;Krefelder Straße ggü. 153 Gehölzbepflanzung Fußgängerweg;Bergahorn;125;großflächiger Stammschaden;32340230.48;5678708.43
6.710858338927818;51.23824404656761;41553;Am Heerdter Feld 9;Sandbirke;119;absterbend ;32340205.01;5678808.76
6.719982663721416;51.243152170645274;368651;Hansaallee 390 Böschung;Bergahorn;90;Rußrindenkrankheit;32340858.81;5679334.68
6.730618187173293;51.23928231029336;22628;Hansaallee 137;Kaiserlinde;130;großflächiger Stammschaden & Stammfäule;32341587.77;5678881.4
6.7381277996976285;51.23673791839864;22550;Hansaallee 49;Kaiserlinde;110;Stammfäule;32342103.2;5678582.32
6.7395227871804115;51.23626735199323;22461;Hansaallee 29;Rosskastanie;175;Pilzbefall: Hallimasch;32342198.96;5678527
6.741037378435342;51.23575276133246;22480;Hansaallee 11c;Rosskastanie;110;Stammfäule;32342302.92;5678466.53
6.722366020496583;51.23017900428801;21661;Baldurstraße 22;Echte Mehlbeere;80;Pilzbefall: Zottiger Lackporling;32340980.41;5677887.04
6.722408385839618;51.23356720531602;132717;Am Heerdter Hof Gehölzbepflanzung ggü. 24;Bergahorn;210;Rußrindenkrankheit;32340995.05;5678263.68
6.726746390293645;51.23565527762282;358157;Albertussee Anlagenbaum;Sandbirke;115;abgestorben;32341305.05;5678486.47
6.725239979647755;51.23569884521438;132929;Albertussee ;Schwarzerle;125;Pilzbefall: Tramete;32341200.05;5678494.57
6.74609414338438;51.23492017076235;358014;GW Schorlemer Straße, GA Anlagenbaum;Echte Mehlbeere;50;abgestorben;32342653.05;5678363.11
6.752327464294064;51.23594728117837;22724;Hartwichstraße ggü. 5;Rosskastanie;235;großflächiger Stammschaden;32343091.65;5678463.98
6.7101617688564525;51.232806324857535;133181;Freizeitanlage Heerdt ;Bergahorn;125;Rußrindenkrankheit;32340137.54;5678205.66
6.73600404944027;51.26505158939196;368402;Heymstraße  Fußweg zw. Heymstr. & Europalplatz;Bergahorn;110;Rußrindenkrankheit;32342052.03;5681735.08
6.736697486705966;51.26527554399031;368403;Heymstraße  Fußweg zw. Heymstr. & Europlaplatz;Bergahorn;120;Rußrindenkrankheit;32342101.17;5681758.49
6.736764575492316;51.265223059795765;368404;Heymstraße  Fußweg zw. Heymstr. & Europaplatz;Bergahorn;140;Rußrindenkrankheit;32342105.67;5681752.51
6.735552479249197;51.26485632428611;368405;Stockumer Höfe Messeparkplätze ;Bergahorn;120;Rußrindenkrankheit;32342019.86;5681714.34
6.743183290236939;51.257285340472;352914;NORDPARK, restl. GA;Steinweichsel;160;Stammfäule;32342526.29;5680856.13
6.761424438423628;51.26335259865498;296396;CARL-SONNENSCHEIN-STR., Grünweg;Bergahorn;145;Rußrindenkrankheit;32343819.53;5681491.79
6.761457137111943;51.263316890133076;368386;CARL-SONNENSCHEIN-STR., Grünweg;Traubenkirsche;40;abgestorben ;32343821.69;5681487.75
6.76149986642962;51.263001043666584;341177;Am Hain  Gehölzbepflanzung;Bergahorn;145;Rußrindenkrankheit;32343823.6;5681452.54
6.748473688040265;51.259081202921514;368452;Stockumer Kirchstraße ;Stiel-Eiche;180;abgestorben;32342901.52;5681044.48
6.748703264241273;51.259132027119016;368453;Stockumer Kirchstraße ;Bergahorn;120;Rußrindenkrankheit;32342917.71;5681049.64
6.748481036478464;51.25865810546926;368457;Nordpark;Bergahorn;100;Rußrindenkrankheit;32342900.59;5680997.42
6.748541505225364;51.25877285815618;368458;Nordpark;Bergahorn;140;Rußrindenkrankheit;32342905.2;5681010.05
6.750211645229047;51.25923055880317;368459;Nordpark;Traubenkirsche;40;abgestorben;32343023.28;5681057.37
6.750668961905147;51.25847750300032;328099;Nordpark;Bergahorn;120;Rußrindenkrankheit;32343052.62;5680972.66
6.7515217983461735;51.256926849467746;368467;Aquazoo Sichtachse;Schwarz-Pappel;40;abgestorben ;32343106.84;5680798.42
6.751633380146005;51.256940055696425;368468;Nordpark;Pappel;40;abgestorben ;32343114.67;5680799.65
6.7517402570183975;51.25695568962488;368469;Nordpark;Pappel;40;abgestorben ;32343122.18;5680801.16
6.751972614693978;51.25697580280365;325968;Nordpark;Schwarz-Pappel;85;abgestorben ;32343138.46;5680802.9
6.752968058710756;51.256355208566994;368473;Wirtschaftsweg Aquazoo;Europäische Lärche;100;abgestorben;32343205.8;5680731.77
6.75386541605906;51.25670529071792;368475;Kaiserswerther Straße 390 Nordpark;Schwarz-Pappel;40;abgestorben ;32343269.6;5680768.78
6.76240462493231;51.25995675386939;310968;Deikerstraße gegenüber 5a ;Vogel-Kirsche;170;abgestorben;32343876.4;5681112.12
6.762338227106841;51.259919060159966;368477;Deikerstraße gegenüber 5a;Vogel-Kirsche;100;abgestorben;32343871.64;5681108.07
6.754841494433167;51.25623144420264;368478;Grünewaldstraße  Parkplatz ;Salweide;50;abgestorben ;32343336.09;5680714.01
6.754818052881499;51.25622424921409;368479;Grünewaldstraße  Parkplatz ;Salweide;50;abgestorben ;32343334.43;5680713.26
6.754276274743357;51.25650956181794;368482;Flüchtlingsunterkünfte Nordpark Anlagenbaum;Sandbirke;60;abgestorben ;32343297.6;5680746.14
6.75088154138346;51.25505385837384;368486;Nordpark Anlagenbaum;Robinie;180;großflächiger Stammschaden & Stammfäule;32343055.79;5680591.53
6.753604896400871;51.25576360633793;368485;Grünewaldstraße  Zugangsweg Nordpark ;Salweide;30;abgestorben ;32343248.22;5680664.63
6.752681750319445;51.25565468471514;368484;Grünewaldstraße  Zugang Nordpark ;Salweide;40;abgestorben ;32343183.44;5680654.49
6.7523863644685385;51.25561636431666;368483;Grünewaldstraße  Zuweg Nordpark ;Salweide;40;abgestorben ;32343162.7;5680650.86
6.7365706702425525;51.271300784607824;368487;Heiligenweg  Parkplatz ;Bergahorn;100;abgestorben ;32342112.98;5682428.71
